lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	~1~ is ontwikkeld door Jean Lalonde gebruikmakend van de <a href="http://ahkscript.org/">ahk script</a> programmeertaal.`n`nVertalingen: `nBraziliaans Portugees: Igor Ruckert`nChinees (Manderijn en Traditioneel): Jess Yang`nDuits: Edgar "Fast Edi" Hoffmann`nFrans: Jean Lalonde`nItaliaans: Riccardo Leone`nPortugees: Luis Neves`nNederlands: Ric Roggeveen`nSpaans: kiketrucker`nKorean translation: Maeng Bong Kyun`n`nEngelse grammatica: <a href="http://www.quickaccesspopup.com/quick-access-popup-translation/">(hulp is welkom)</a>`n`nPictogrammen van: <a href="https://icons8.com/">Icons8</a>`nInstallatieprogramma van: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> van jrsoftware.org`nAutoHotkey_L v~2~ bronnen: <a href="https://github.com/JnLlnd/QuickAccessPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-~2~`nQuick Access Popup bevat componenten welke onder de Apache Licentie, versie 2.0 vallen. Het gebruik van dit bestand is alleen toegestaan in naleving van de licentie. Tenzij de toepasselijke wetgeving dit vereist of de partijen dit vooraf schriftelijk zijn overeengekomen, wordt de software op een "AS IS" -basis ZONDER WAARBORG OF VOORWAARDEN van welke aard dan ook hetzij uitdrukkelijk of impliciet onder de licentie uitgegeven. Refereer naar de licentie voor de specifieke bevoegdheden en/of beperkingen die de licentie heeft.`nEen kopie (site is in het Engels) van de licentie is te verkrijgen op: <a href="http://www.apache.org/licenses/LICENSE-2.0">http://www.apache.org/licenses/LICENSE-2.0</a>
lAboutText4	Meer informatie is te vinden op: <a href="http://www.quickaccesspopup.com">www.quickaccesspopup.com</a>
lAboutTitle	Over ~1~ ~2~
lAboutUserComputerName	Gebruikersnaam: ~1~`nComputer: ~2~
lAlternativeMenuTrayTipCopyLocation	Selecteer een favoriet om te kopiëren
lAlternativeMenuTrayTipEditFavorite	Selecteer een favoriet om te bewerken
lAlternativeMenuTrayTipNewWindow	Selecteer een map om te openen in een nieuw venster
lAlternativeMenuTrayTipOpenContaining	Selecteer een favoriet van het document, applicatie of map waarvan de bron geopend dient te worden
lAlternativeMenuTrayTipRunAs	Selecteer de applicatie om te starten als administrator
lContextAddFile	Bestand toevoegen aan het Quick Access Popup menu
lContextAddFileXpress	Bestand toevoegen aan het Quick Access Popup Express menu 
lContextAddFolder	Map toevoegen aan het Quick Access Popup menu
lContextAddFolderXpress	Map toevoegen aan het Quick Access Popup Express menu 
lContextAddShortcut	Importeer de snelkoppeling naar het Quick Access Popup menu
lContextCancelled	Het in- of uitschakelen van de Windows Context menus is geannuleerd bij de gebruiker.
lContextShowMenu	Quick Access Popup menu weergeven
lControlToolTipAlwaysOnTopOff	Dit venster altijd op de voorgrond weergeven
lControlToolTipAlwaysOnTopOn	Stop met het weergeven van dit venster op de voorgrond
lControlToolTipColumnBreak	Voeg een kolomeinde toe op de huidige positie
lControlToolTipMoveDown	Verplaats de geselecteerde favoriet(en) naar beneden
lControlToolTipMoveUp	Verplaats de geselecteerde favoriet(en) naar boven
